planet_name,star_num,planet_num,moon_num,discovery_ref,pl_orbper,pl_rade,pl_masse,stellar_rad,stellar_mass,distance
Proxima Cen b,3,1,0,<a refstr=ANGLADA_ESCUD_EACUTE__ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.536..437A/abstract target=ref>Anglada-Escud&eacute; et al. 2016</a>,11.1855,,,0.15,,1.30119
Proxima Cen b,3,1,0,<a refstr=ANGLADA_ESCUD_EACUTE__ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.536..437A/abstract target=ref>Anglada-Escud&eacute; et al. 2016</a>,11.186,,,0.14,0.12,1.30119
eps Eri b,1,1,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,2502,,492.6365,,0.83,3.2026
eps Eri b,1,1,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,2502.1,,540.311,,0.85,3.2026
eps Eri b,1,1,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,2690,,247.9074,,0.78,3.2026
GJ 887 b,1,2,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,9.262,,,0.47,0.49,3.29
GJ 887 c,1,2,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,21.789,,,0.47,0.49,3.29
Ross 128 b,1,1,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,9.8658,,,0.2,0.17,3.37454
GJ 15 A b,2,2,0,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,11.4407,,,0.38,0.38,3.56228
GJ 15 A b,2,2,0,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,11.4433,,,0.39,0.38,3.56228
GJ 15 A c,2,2,0,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>,7600,,,0.38,0.38,3.56228
tau Cet e,1,4,0,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>,162.87,,,,0.78,3.60304
tau Cet f,1,4,0,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>,636.13,,,,0.78,3.60304
tau Cet g,1,4,0,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>,20,,,,0.78,3.60304
